,label,review
7038,0,我要了三分饺子，一份荤香鸡蛋，一份荤香猪肉的结果都给我拿成荤香猪肉的了.还没有给我拿醋.还就给我拿了两双筷子.那个人都手抓着吃的
2572,1,神速，继续支持。！！！
9376,0,太咸了，辣椒里面不知道有什么东西，吃了好几次都像石子的东西。
7736,0,少了一个粥
5380,0,酱有点多，速度挺快的
603,1,很辣、但是很香～吃完一次还想吃哈、送餐速度也很快～
1501,1,"很好吃,包装很高大上"
7785,0,咖啡洒了半杯，下次小心
4438,0,包装不错，饼一般，肘子有点腥。
6306,0,以前很喜欢吃，现在送来的是什么鬼？咖喱鸡肉烩面，为什么没有咖喱？？？
564,1,牛肉、大肠稍微有点少。
11680,0,一个半小时才送到，图片上的饮料也没有，一点也不值21元。以后没有优惠卷活动了肯定不吃了。
11879,0,肉实在太少了
5466,0,11点半订餐，2小时才送到
1954,1,还没吃，送了一个小时，速度有点慢
9670,0,太难吃了，吃得真搓火，感觉像山寨版的正一味，很难吃，很难吃，非常难吃。
3402,1,"哈哈哈,好吃"
11355,0,送错了，丸子变成了米饭
10526,0,什么破海鲜炒饭就放了几块鱿鱼绿豆鸡蛋很难吃一点味道都没有还29元
2405,1,奶茶送到有点凉了，披萨好吃
10895,0,今天有点点小雨，送餐真的慢。吃起来口味一般吧，可能是黄焖鸡就要特别热的吃才好吃。
10111,0,海鲜豆腐汤，全是豆腐，现在想起豆腐都害怕了
9994,0,味道一般不太喜欢。
11850,0,速度有待提高，一个多小时呀
8887,0,"抄手就是个面疙瘩,量也太少了,下次不买了"
958,1,好吃，量很足哦，送餐速度也够快，送来还很烫那
5879,0,一个半小时，可以
7619,0,送货员板着大脸一句话都没有楞楞的，炒饭又黑又咸，粥也黑了吧唧的
7357,0,送餐师傅也不容易可以体谅，不过这咖啡撒的也是可以的，白色的星巴克纸杯几乎都撒成咖啡色了，其他师傅送也没有出现这么严重的撒漏，只能是希望师傅以后路上小心一些，毕竟买的就是质量
8099,0,"我说了饮料不加冰，最后送餐员来了以后，我特意问没加冰吧,他说没有,结果我一打开,一堆冰"
9164,0,大哥，你知道你送的这是披萨吗？拖成一坨让我怎么吃？
7274,0,不知道是星巴克的原因还是配送员的原因，咖啡是凉的，还是半杯！摩卡上面的奶油也没了。很郁闷
3594,1,师傅服务好送货快，性价比超高
5179,0,差差差！时间太久！
1206,1,"好吃,好吃,真好吃"
9832,0,"3月28号第一次订，评价：很好，很方便，很好吃。,30号晚再订，7点付款成功，8点25第一次催单，并打短信中的配送员电话，态度很差，说手上还有三个单，不能只给我一家送，让我找调度。遂又网上催单两次，并网上投诉。晚上9点10送达。虽然最后还是吃上了，且后来接到一个女士的歉意电话，但还会在这家订吗？算了，还是给个3星吧，勉强及格吧。"
1737,1,挺好，挺好吃
6649,0,要的套餐（套餐含饭和饮料），就给送饭了，打电话过去说给补送，现在也没送来，差评！
9687,0,汤都洒得差不多了，泡菜汤实在不咋滴，被当家的一顿骂
11349,0,"送餐时间太慢，完了近一个小时!,以后不订了！"
11350,0,11:01订单成功，商家11:04确认，预计11:41到达，快递12:27才给我打的电话，那这样预计有什么用呀。多耽误事情，大热天的送来饭都凉了。差评
4683,0,味道一般，干干巴巴的，吃到最后有点想吐。不过包装不错，看起来很精致干净。总体来讲，不值20元钱。
3071,1,喜欢吃裹油条的煎饼，豆浆不觉得特别好。送餐特别快。
218,1,非常好，现在每天都喝，下午一杯柠檬绿茶提神醒脑
2767,1,饼边走点硬，味道还不错，希望下次改进。
5161,0,送菜太慢，过了高峰时段人都走了，一个多小时还没送到，电话取消后，不知怎么退款
2861,1,送的还是很快的，店家也熟悉，就是不知道怎么选辣不辣
6005,0,等了一个半小时…实在送的太久了
6971,0,便宜种类多，但是真的慢，真的难吃
9350,0,本来是想省时间的，结果定个外卖花了我两个小时，以后绝对不会再选择这家了，口味一般，送餐还这么慢，还想不想做生意了
7065,0,非常差，米饭夹生，打和合谷客服投诉，告知门店会有人处理，到现在也没有下文了，真的是无语了，以后再也不去去和合谷！
4428,0,土豆丝卷饼太难吃了。。
4840,0,"巨慢,巨少,巨难吃"
5941,0,备注了11：30送到，又提前半个多小时就送来了
8848,0,菜的汤汁都出来了不是特别好很乱
6798,0,点了一份蒜，没给，口味一般吧
8624,0,"一般,不咋好吃,送的也不快"
7040,0,送餐不送筷子也是醉了让人怎么吃啊!!!!!有负分吗？
3084,1,非常赞。棒棒的。赞赞赞
3229,1,味道挺好的，南瓜羹量太少
6361,0,差是因为缺斤短两，别的也就算了，花生米一个就一克的是事情，也份量不足！这是诚信问题！
6190,0,历时一小时，送到时菜都凉了
6335,0,点个加一元的饮料，送餐员闲麻烦说就当我没有定过，头一次碰见这种事情，真心烦。
4143,0,粥连个勺子都没有，还凉的
